FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_0,600,5000,node0_0_0_6|P0-sw_0_8|e1|4|P2-sw_0_1|e4|3|P1-sw_0_2|e7|4|node0_0_0_3
VLAN_0_Flow_2,625,1000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_3,900,5000,node0_0_0_6|P0-sw_0_8|e1|3|P3-sw_0_1|e5|4|P1-sw_0_4|e9|3|P1-sw_0_2|e7|4|node0_0_0_3
VLAN_0_Flow_4,750,2000,node0_0_0_6|P0-sw_0_8|e1|5|P2-sw_0_1|e4|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_6,750,10000,node0_0_0_6|P0-sw_0_8|e1|3|P3-sw_0_1|e5|4|P3-sw_0_4|e11|3|node0_0_0_9
VLAN_0_Flow_7,625,1000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P3-sw_0_4|e11|7|node0_0_0_9
VLAN_0_Flow_10,750,2000,node0_0_0_6|P0-sw_0_8|e1|5|P3-sw_0_1|e5|7|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_12,750,10000,node0_0_0_6|P0-sw_0_8|e1|3|P3-sw_0_1|e5|4|P2-sw_0_4|e10|3|node0_0_0_7
VLAN_0_Flow_14,600,10000,node0_0_0_9|P2-sw_0_4|e10|1|node0_0_0_7
VLAN_0_Flow_16,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_17,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_18,450,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_20,375,2000,node0_0_0_9|P1-sw_0_4|e9|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_21,250,1000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_22,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_24,250,2000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_25,450,2000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_26,450,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_28,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
