FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_0,875,2000,node0_0_0_6|P0-sw_0_8|e1|5|P1-sw_0_1|e3|7|P1-sw_0_0|e8|6|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_1,750,5000,node0_0_0_6|P0-sw_0_8|e1|5|P2-sw_0_1|e4|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_2,600,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_4,750,1000,node0_0_0_6|P0-sw_0_8|e1|6|P1-sw_0_1|e3|5|P1-sw_0_0|e8|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_7,625,2000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P3-sw_0_4|e11|7|node0_0_0_9
VLAN_0_Flow_9,625,1000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P3-sw_0_4|e11|7|node0_0_0_9
VLAN_0_Flow_11,625,5000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P3-sw_0_4|e11|7|node0_0_0_9
VLAN_0_Flow_12,750,5000,node0_0_0_6|P0-sw_0_8|e1|3|P3-sw_0_1|e5|4|P2-sw_0_4|e10|3|node0_0_0_7
VLAN_0_Flow_13,500,2000,node0_0_0_6|P0-sw_0_8|e1|7|P3-sw_0_1|e5|6|P2-sw_0_4|e10|5|node0_0_0_7
VLAN_0_Flow_16,300,5000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_17,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_19,250,2000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_20,375,1000,node0_0_0_9|P1-sw_0_4|e9|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_21,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_22,450,5000,node0_0_0_9|P2-sw_0_4|e10|3|node0_0_0_7
VLAN_0_Flow_24,250,2000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_25,600,5000,node0_0_0_9|P1-sw_0_4|e9|3|P1-sw_0_2|e7|4|node0_0_0_3
VLAN_0_Flow_28,600,5000,node0_0_0_9|P0-sw_0_4|e5|4|P2-sw_0_1|e4|3|P1-sw_0_2|e7|4|node0_0_0_3
VLAN_0_Flow_29,800,10000,node0_0_0_9|P1-sw_0_4|e9|1|P1-sw_0_2|e7|2|node0_0_0_3
