FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_2,625,1000,node0_0_0_6|P0-sw_0_8|e1|7|P3-sw_0_1|e5|5|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_3,900,10000,node0_0_0_6|P0-sw_0_8|e1|3|P1-sw_0_1|e3|4|P1-sw_0_0|e8|3|P1-sw_0_2|e7|4|node0_0_0_3
VLAN_0_Flow_4,875,2000,node0_0_0_6|P0-sw_0_8|e1|6|P2-sw_0_1|e4|7|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_6,600,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P3-sw_0_4|e11|4|node0_0_0_9
VLAN_0_Flow_10,750,2000,node0_0_0_6|P0-sw_0_8|e1|5|P3-sw_0_1|e5|7|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_13,600,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_14,300,10000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_15,500,1000,node0_0_0_9|P1-sw_0_4|e9|6|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_16,450,10000,node0_0_0_9|P2-sw_0_4|e10|3|node0_0_0_7
VLAN_0_Flow_17,250,1000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_18,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
VLAN_0_Flow_19,600,10000,node0_0_0_9|P2-sw_0_4|e10|1|node0_0_0_7
VLAN_0_Flow_20,750,2000,node0_0_0_9|P4-sw_0_4|e12|7|P0-sw_0_5|e6|6|P1-sw_0_1|e3|5|P1-sw_0_0|e8|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_22,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_23,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_24,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_25,450,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_28,450,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_29,625,1000,node0_0_0_9|P1-sw_0_4|e9|6|P1-sw_0_2|e7|7|node0_0_0_3
